state,date,delta_confirmed,delta_deceased,delta_recovered,delta_vaccinated1,delta_vaccinated2,delta_tested,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_vaccinated1,delta7_vaccinated2,delta7_tested,total_confirmed,total_deceased,total_recovered,total_vaccinated1,total_vaccinated2,total_tested
AN,3/26/2020,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AN,3/27/2020,5,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0
AN,3/28/2020,3,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0
AN,3/29/2020,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0
AN,3/30/2020,1,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0
AN,3/31/2020,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0
AN,4/1/2020,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0
AN,4/2/2020,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0
AN,4/3/2020,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0
AN,4/4/2020,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0
AN,4/5/2020,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0
AN,4/6/2020,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
AN,4/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
AN,4/8/2020,1,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0
AN,4/9/2020,0,0,10,0,0,0,1,0,10,0,0,0,11,0,10,0,0,0
AN,4/10/2020,0,0,0,0,0,0,1,0,10,0,0,0,11,0,10,0,0,0
AN,4/11/2020,0,0,0,0,0,0,1,0,10,0,0,0,11,0,10,0,0,0
AN,4/12/2020,0,0,0,0,0,0,1,0,10,0,0,0,11,0,10,0,0,0
AN,4/13/2020,0,0,0,0,0,0,1,0,10,0,0,0,11,0,10,0,0,0
